Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,
9991 — Adegem,Apartment,,180000,85,0,0,0,0,,,,,0,Good,20292039,No,
1050 — Ixelles,Apartment,,1450000,300,1,1,0,0,,,,2,1,Just renovated,20291720,No,
9000 — Gent,Apartment,,229500,96,0,0,0,0,,,,,0,,20308615,No,
1090 — Jette,Apartment,,499000,149,1,1,0,10,,,,2,0,Good,20308957,No,
2018 — Antwerpen,Apartment,,585000,134,0,0,0,12,,,,3,1,As new,20308648,No,
,,,,0,0,0,0,,,,,0,,,,,
1060 — Saint-Gilles,Apartment,,765000,254,1,1,0,27,,,,,1,Good,20234144,No,
9000 — Gent,,Service,445000,81,0,0,0,8,25,25,,,0,Good,20278649,No,
8300 — Knokke,Apartment,,985000,70,0,1,0,0,,,,,0,Good,20278568,No,
8300 — Knokke-Heist,Apartment,,1250000,75,1,1,0,0,,,,2,0,Just renovated,20278335,No,
8300 — Knokke,Apartment,,2975000,131,0,0,0,0,,,,,0,As new,20276782,No,
8300 — Knokke,Apartment,,3850000,187,0,1,0,0,,,,,0,Good,20276762,No,
8300 — Knokke,Apartment,,4645000,123,0,0,0,0,,,,,0,As new,20276773,No,
2850 — Boom,Apartment,,259000,91,0,1,0,85,,,,,0,,20297009,No,
1300 — Wavre,Apartment,,299000,155,1,1,0,44,,,,2,1,To renovate,20295071,No,
9770 — KRUISEM,Apartment,,335000,110,1,0,0,0,,,,2,0,Good,20299770,No,
6700 — Arlon (Stockem),Apartment,,209000,65,1,0,0,0,413,413,,2,0,Good,20257814,"('Under option', 'No')",
9150 — Kruibeke Bazel,Apartment,,230000,82,1,1,0,8,,,,2,0,Good,20310572,No,
1140 — Evere,Apartment,,348000,110,1,0,0,9,,,,2,0,Good,20310905,No,
,,,,0,0,0,0,,,,,0,,,,,
1180 — Uccle,Apartment,,545000,123,0,1,0,25,,,,,1,As new,20262851,No,
1050 — IXELLES,,Triplex,2150000,311,1,0,1,65,,,,2,0,Just renovated,20313976,No,
9890 — Gavere,Apartment,,185000,55,0,1,0,25,,,,2,0,Good,20272902,No,
3500 — Hasselt,Apartment,,299000,92,0,0,0,22,,,,,0,Good,20272725,No,
6700 — ARLON,Apartment,,160000,55,1,0,0,0,,,,4,0,Good,20291797,No,
1080 — Molenbeek-Saint-Jean,Apartment,,175000,71,1,1,0,0,,,,2,0,Good,20289607,No,
1400 — NIVELLES,Apartment,,230000,150,1,0,0,0,,,,2,0,To be done up,20291885,No,
1050 — Ixelles,Apartment,,295000,62,1,1,0,0,,,,3,1,Good,20289747,No,
8000 — Brugge,,Service,115000,52,1,0,0,10,,,,2,1,As new,20304870,No,
9600 — Ronse,Apartment,,179000,107,1,1,0,0,,,,2,1,Good,20306336,No,
3000 — LEUVEN,,Flat,180000,29,1,0,0,0,,,,,0,Just renovated,20308854,No,
9000 — Gent,Apartment,,455000,70,1,0,0,6,,,,,0,Just renovated,20303792,No,
2660 — HOBOKEN,Apartment,,175000,90,1,0,0,5,,,,,0,Good,20180608,No,
2100 — DEURNE,Apartment,,179000,72,1,1,0,5,,,,2,0,Good,20151618,"('Under option', 'No')",
2140 — BORGERHOUT,Apartment,,,72,1,1,0,5,,,,2,0,Good,20078303,No,
2140 — BORGERHOUT,Apartment,,194900,75,1,0,0,3,,,,2,0,Good,20242596,"('Under option', 'No')",
2600 — BERCHEM,Apartment,,194900,75,1,0,0,3,,,,2,0,Good,20242595,"('Under option', 'No')",
2020 — ANTWERPEN,Apartment,,199000,104,1,0,0,2,,,,2,0,As new,20214720,No,
1400 — NIVELLES,Apartment,,219000,100,1,1,0,11,,,,2,1,To be done up,20218830,No,
2900 — SCHOTEN,Apartment,,225000,95,1,0,0,3,,,,,0,Good,20233362,"('Under option', 'No')",
2900 — SCHOTEN,,Penthouse,225000,95,1,0,0,3,,,,,0,Good,20233363,"('Under option', 'No')",
2600 — BERCHEM,Apartment,,240000,90,1,0,0,17,,,,,0,Good,20237612,No,
1300 — WAVRE,Apartment,,245000,85,1,1,0,16,,,,4,1,To renovate,20048409,"('Under option', 'No')",
1301 — BIERGES,Apartment,,245000,85,1,1,0,16,,,,4,1,To renovate,20047478,"('Under option', 'No')",
1150 — Woluwe-Saint-Pierre,Apartment,,249000,77,1,0,0,0,7,7,,,1,Good,20053999,No,
2660 — Hoboken,Apartment,,259000,95,0,0,0,9,,,,,0,As new,20204444,"('Under option', 'No')",
4000 — LIÈGE,Apartment,,268000,90,1,0,0,18,45,45,,2,0,Good,11368520,No,
4000 — LIÈGE,Apartment,,275000,98,1,0,0,3,,,,2,0,Just renovated,11402961,No,
2018 — ANTWERPEN,Apartment,,289000,80,1,1,0,0,,,,2,0,Good,20165955,No,
2600 — BERCHEM,Apartment,,289000,86,1,0,0,11,,,,,0,Just renovated,20227281,"('Under option', 'No')",
2100 — DEURNE,Apartment,,295000,126,1,0,0,0,200,200,,,0,Good,20245601,"('Under option', 'No')",
2660 — HOBOKEN,Apartment,,296000,100,0,0,0,9,,,,2,0,As new,20071269,No,
,,,,0,0,0,0,,,,,0,,,,,
1150 — Woluwe-Saint-Pierre,Apartment,,398000,90,1,0,1,4,,,,2,1,Good,20279794,No,
,,,,0,0,0,0,,,,,0,,,,,
2600 — BERCHEM,Apartment,,419000,145,1,0,1,20,,,,,0,Good,20221373,No,
1820 — STEENOKKERZEEL,Apartment,,429000,123,1,0,0,18,,,,2,0,Good,20050372,No,
1000 — Bruxelles,Apartment,,550000,167,1,1,0,12,60,60,,2,1,Good,20133689,"('Under option', 'No')",
3920 — Lommel,Apartment,,569000,143,1,0,0,30,,,,2,0,As new,20194759,No,
8301 — Heist-aan-Zee,Apartment,,645000,91,1,1,0,11,,,,2,0,Good,20046743,No,
8300 — Knokke,Apartment,,985000,70,1,1,0,50,,,,2,0,Just renovated,11040240,No,
8300 — Knokke,Apartment,,1195000,105,1,1,0,4,,,,2,0,Just renovated,11028615,No,
2940 — Stabroek,Apartment,,215000,94,1,0,0,0,,,,,0,Good,20267403,No,
8400 — Oostende,Apartment,,234000,70,1,1,0,2,,,,,0,Good,11427787,No,
,,,,0,0,0,0,,,,,0,,,,,
3000 — Leuven,Apartment,,425000,112,1,1,0,0,,,,,0,Good,20267586,No,
1150 — Woluwe-Saint-Pierre,Apartment,,655000,170,1,1,0,22,,,,2,1,Good,20044380,No,
4400 — FLÉMALLE-GRANDE,Apartment,,230000,220,1,0,0,16,,,,2,0,To restore,20284077,No,
1200 — Woluwe-Saint-Lambert,,Ground,547000,152,1,1,0,13,33,33,,2,1,As new,20268445,No,
8300 — Knokke-Zoute,Apartment,,3495000,200,1,1,0,0,,,,2,0,Good,20282297,No,
8300 — Knokke-Zoute,Apartment,,3950000,100,1,1,0,0,,,,2,0,Good,20282554,No,
6940 — Durbuy,,Ground,99000,87,1,1,0,0,,,,2,0,To be done up,20294655,No,
3640 — KINROOI,,Ground,263000,106,1,0,0,24,42,42,,,0,,20296258,"('Under option', 'No')",
3640 — KINROOI,,Ground,284000,116,1,0,0,14,15,15,,,0,,20296265,No,
2018 — Antwerpen,Apartment,,349000,112,1,0,0,0,,,,2,0,Good,20296853,"('Under option', 'No')",
8800 — Roeselare,,Flat,135000,44,1,1,0,0,,,,,0,Good,20285817,No,
2000 — ANTWERPEN,Apartment,,209000,54,1,0,0,0,,,,2,0,Good,20290247,No,
8800 — Roeselare,Apartment,,229000,90,1,0,0,0,,,,,0,Good,20285820,No,
8670 — Sint-Idesbald,Apartment,,249000,106,1,0,0,0,,,,,0,To renovate,20287600,No,
2900 — SCHOTEN,Apartment,,300000,90,1,0,0,0,,,,,0,Good,20289876,No,
,,,,0,0,0,0,,,,,0,,,,,
8650 — Houthulst,Apartment,,519150,254,1,1,0,0,,,,,0,Good,20287622,No,
2223 — Schriek,Apartment,,220000,72,1,0,0,0,,,,,0,,20302770,No,
1853 — Grimbergen Strombeek-Bever,Apartment,,260000,85,1,1,0,30,,,,2,0,Good,20303487,No,
2500 — LIER,Apartment,,339000,96,1,0,0,7,,,,2,0,,20303846,No,
2000 — Antwerpen,Apartment,,925000,249,1,0,0,80,,,,2,0,As new,20301074,No,
1502 — Halle,Apartment,,178000,81,1,0,0,0,,,,2,1,To be done up,20319036,No,
2060 — Antwerpen,Apartment,,180000,72,1,1,0,8,,,,2,0,Just renovated,20316411,No,
1502 — Halle,,Ground,215000,130,1,0,0,0,,,,2,1,To be done up,20319037,No,
1500 — Halle,,Ground,265000,83,1,1,0,0,,,,3,1,Good,20318410,No,
1501 — Halle,,Ground,265000,83,1,1,0,0,,,,3,1,Good,20318411,No,
2275 — Lille,Apartment,,299000,115,0,1,0,23,,,,2,0,As new,20316879,No,
8620 — Nieuwpoort,Apartment,,725000,113,0,1,0,0,,,,,0,To renovate,20318976,No,
1702 — Groot-Bijgaarden,Apartment,,279000,102,1,1,0,0,,,,,0,Good,20275413,No,
1180 — Uccle,,Ground,398000,80,1,1,0,40,,,,2,1,As new,20238322,No,
8430 — MIDDELKERKE,Apartment,,650000,100,1,1,0,0,,,,,0,Just renovated,20276748,No,
1030 — Schaarbeek,,Penthouse,437000,98,1,0,1,38,,,,2,1,Good,20319437,No,
9050 — Gent,Apartment,,279000,95,1,0,0,0,1,1,,3,1,Good,20293239,No,
5170 — Profondeville Lustin,Apartment,,220000,75,1,1,0,10,38,38,,3,1,As new,20309639,No,
,,,,0,0,0,0,,,,,0,,,,,
1932 — Zaventem Sint-Stevens-Woluwe,Apartment,,245000,68,1,1,0,12,,,,2,1,As new,20217507,No,
1190 — Forest,Apartment,,340000,97,1,1,0,0,,,,2,1,Good,20266263,"('Under option', 'No')",
,,,,0,0,0,0,,,,,0,,,,,
1210 — Saint-Josse-ten-Noode,Apartment,,149000,48,1,1,0,0,,,,2,1,To renovate,20235820,No,
8670 — Koksijde,Apartment,,199000,38,1,0,0,0,,,,,0,To be done up,20283828,No,
1080 — MOLENBEEK-SAINT-JEAN,Apartment,,220000,100,1,1,0,8,,,,2,1,As new,20129098,"('Under option', 'No')",
1090 — Jette,Apartment,,220000,94,1,1,0,0,,,,,0,To be done up,20285659,No,
2100 — DEURNE,Apartment,,249000,100,1,0,0,0,,,,3,0,Good,20287524,No,
8400 — Oostende,,Duplex,298000,92,1,1,0,38,,,,2,1,As new,20281714,No,
1140 — Evere,Apartment,,345000,89,1,1,0,3,,,,3,0,As new,20262929,No,
1000 — Bruxelles,Apartment,,365000,84,1,1,0,0,,,,2,0,Good,20199209,"('Under option', 'No')",
1200 — Woluwe-Saint-Lambert,Apartment,,420000,110,1,1,0,9,,,,,1,Good,20234145,"('Under option', 'No')",
8830 — Hooglede,Apartment,,479000,154,1,0,0,0,,,,,0,Good,20242958,No,
9600 — Ronse,,Ground,495000,175,1,1,0,137,110,110,,2,0,As new,20128154,No,
1000 — Bruxelles,Apartment,,499000,200,0,1,1,25,,,,,1,Good,20264602,No,
,,,,0,0,0,0,,,,,0,,,,,
1060 — Saint-Gilles,Apartment,,595000,155,1,1,0,0,,,,3,1,Just renovated,20260335,"('Under option', 'No')",
1880 — KAPELLE-OP-DEN-BOS,,Duplex,690000,165,1,0,0,47,,,,,0,Good,20286938,No,
1180 — Uccle,,Triplex,950000,193,1,1,0,1,150,150,,3,1,As new,20287388,No,
7700 — MOESKROEN,Apartment,,179000,84,1,0,0,10,,,,,0,,20300529,No,
4100 — Seraing,Apartment,,190000,91,1,1,0,0,,,,2,0,To be done up,20297495,No,
9308 — HOFSTADE,Apartment,,239000,92,1,0,0,0,,,,2,0,Good,20265644,No,
1410 — Waterloo,Apartment,,345000,98,1,0,0,14,,,,3,1,Good,20311736,No,
2100 — DEURNE,Apartment,,365000,120,1,0,0,5,,,,2,0,Just renovated,20265781,No,
3140 — Keerbergen,Apartment,,385000,156,1,0,0,0,,,,2,1,Good,20315487,No,
1180 — Uccle,Apartment,,1195000,316,1,1,0,19,,,,2,1,Good,20315527,No,
8500 — Kortrijk,Apartment,,117500,85,0,1,0,0,,,,,0,To renovate,20280155,No,
4100 — Seraing,,Ground,109000,117,1,1,0,80,300,300,,2,1,Good,20306890,No,
1000 — Bruxelles,,Flat,335000,58,1,1,0,0,,,,2,1,Just renovated,20307376,No,
1050 — Ixelles,Apartment,,395000,65,1,0,0,0,,,,3,1,As new,20307225,No,
2940 — Hoevenen,Apartment,,175000,78,1,1,0,0,,,,,0,To renovate,20278431,No,
8300 — Knokke,Apartment,,815000,80,0,1,0,0,,,,,0,Good,20276760,No,
8300 — Knokke-Zoute,Apartment,,985000,67,1,1,0,0,,,,2,0,Good,20278338,No,
8300 — Knokke,Apartment,,1050000,79,0,0,0,0,,,,,0,Good,20278567,No,
8300 — Knokke-Zoute,Apartment,,1050000,79,1,1,0,0,,,,2,0,Good,20278339,No,
8300 — Knokke,Apartment,,1950000,128,0,0,0,0,,,,,0,As new,20276757,No,
8300 — Knokke,Apartment,,2375000,105,0,0,0,0,,,,,0,As new,20276770,No,
4020 — LIÈGE,Apartment,,150000,84,1,0,0,0,,,,3,0,,20298244,No,
1050 — Ixelles,Apartment,,169000,34,1,1,0,6,,,,2,1,Good,20295803,No,
2140 — Antwerpen Borgerhout,Apartment,,184900,100,1,1,0,22,,,,2,1,To be done up,20295588,No,
2050 — Antwerpen (2050),Apartment,,220000,74,0,0,0,0,,,,,0,Good,20297130,No,
5100 — JAMBES,Apartment,,260000,99,1,0,0,0,,,,3,0,,20297987,No,
2930 — Brasschaat,Apartment,,275000,90,1,0,0,0,,,,3,0,Good,20296833,No,
1160 — Auderghem,Apartment,,319000,97,1,1,0,2,,,,2,1,To be done up,20296734,No,
8370 — Blankenberge,Apartment,,335000,100,0,1,0,0,,,,,0,,20296902,No,
9090 — Melle,Apartment,,278000,96,1,1,0,8,,,,,0,Good,20272721,No,
1081 — KOEKELBERG,Apartment,,295000,104,1,0,0,6,,,,2,0,As new,20273373,No,
9000 — GENT,Apartment,,445000,105,1,0,0,0,,,,2,0,Just renovated,20273311,No,
8300 — Knokke-Zoute,Apartment,,2150000,154,1,1,0,0,,,,4,0,Just renovated,20272608,No,
9300 — AALST,Apartment,,260250,110,1,0,0,8,,,,4,0,,20306104,No,
1200 — WOLUWE-SAINT-LAMBERT,Apartment,,380000,90,1,1,0,7,,,,2,1,As new,20306565,No,
9800 — DEINZE,,Service,419000,107,1,0,0,13,,,,2,0,Good,20308483,No,
3500 — Hasselt,Apartment,,499000,,0,0,0,11,,,,,0,As new,20305231,No,
1070 — Anderlecht,Apartment,,139500,51,1,1,0,8,,,,2,1,To be done up,20083690,"('Under option', 'No')",
2060 — ANTWERPEN,Apartment,,139900,50,1,0,0,2,,,,3,0,To be done up,20151621,"('Under option', 'No')",
2140 — BORGERHOUT,,Flat,149900,40,1,0,0,8,,,,2,0,To be done up,20105266,No,
8400 — Oostende,,Flat,150000,35,1,0,0,0,,,,1,1,Just renovated,20181127,No,
4020 — Liège,Apartment,,160000,88,1,0,0,0,,,,2,1,Good,20016425,"('Under option', 'No')",
4000 — Liège,Apartment,,169000,87,1,1,0,3,,,,2,1,Good,20228934,"('Under option', 'No')",
2600 — BERCHEM,Apartment,,175000,90,1,0,0,12,,,,2,0,To be done up,20189302,No,
2610 — ANTWERPEN,Apartment,,175000,50,1,0,0,6,,,,2,0,To renovate,20217219,No,
2140 — BORGERHOUT,Apartment,,184900,80,1,0,0,17,,,,2,0,Good,20105270,No,
1000 — BRUSSEL,Apartment,,210000,59,1,1,0,3,,,,2,0,Good,20240348,No,
2570 — DUFFEL,Apartment,,215000,90,0,0,0,36,215,215,,,0,Good,20250291,"('Under option', 'No')",
2830 — WILLEBROEK,Apartment,,225000,75,1,0,0,0,,,,2,0,To be done up,20193964,No,
1082 — Berchem-Sainte-Agathe,Apartment,,239000,88,1,1,0,8,,,,3,1,As new,10419257,"('Under option', 'No')",
2140 — BORGERHOUT,Apartment,,249000,100,1,0,0,4,,,,2,0,Good,20242568,"('Under option', 'No')",
2600 — BERCHEM,Apartment,,249000,92,1,0,0,5,,,,,0,Good,20149840,No,
4000 — Liège,Apartment,,249000,203,1,1,0,12,,,,2,1,Good,20185558,"('Under option', 'No')",
4032 — Liège,Apartment,,249000,203,1,1,0,12,,,,2,1,Good,20185559,"('Under option', 'No')",
2660 — HOBOKEN,Apartment,,259000,126,1,0,0,10,,,,2,0,As new,20106674,"('Under option', 'No')",
1800 — VILVOORDE,Apartment,,269000,71,1,0,0,9,,,,,0,Good,20252058,"('Under option', 'No')",
6280 — GERPINNES,,Ground,270000,108,1,0,0,37,,,,2,0,As new,20156527,No,
1070 — Anderlecht,Apartment,,279000,87,1,1,0,17,,,,3,1,As new,11478845,"('Under option', 'No')",
2880 — BORNEM,Apartment,,297000,106,1,0,0,22,,,,3,0,Good,11187683,No,
1180 — Uccle,Apartment,,299000,93,1,1,0,8,,,,2,1,To be done up,11467450,"('Under option', 'No')",
2600 — BERCHEM,Apartment,,299000,111,1,0,0,17,,,,2,0,Good,20201272,"('Under option', 'No')",
2880 — BORNEM,Apartment,,324000,88,1,0,0,9,,,,2,0,Good,20014129,"('Under option', 'No')",
1200 — Woluwe-Saint-Lambert,Apartment,,325000,75,1,1,0,6,,,,4,1,As new,11179448,"('Under option', 'No')",
1070 — Anderlecht,Apartment,,335000,100,1,1,0,21,,,,2,1,As new,20218592,No,
1731 — ZELLIK,Apartment,,365000,127,1,0,0,30,,,,2,0,As new,11422551,"('Under option', 'No')",
1000 — Brussel,Apartment,,375000,93,1,0,0,2,,,,2,1,Good,11355923,No,
2018 — ANTWERPEN 2018,Apartment,,375000,100,1,0,0,20,,,,,0,Good,20236289,No,
8301 — Heist-aan-Zee,,Penthouse,549000,120,1,1,0,16,,,,2,0,Good,11085758,No,
1150 — Woluwe-Saint-Pierre,,Service,550000,96,1,1,0,44,,,,2,1,Good,11118372,No,
1170 — Watermael-Boitsfort,Apartment,,550000,143,1,1,0,18,,,,2,1,Good,20234084,No,
1200 — Woluwe-Saint-Lambert,Apartment,,550000,115,1,1,0,4,,,,2,1,Good,11468607,"('Under option', 'No')",
,,,,0,0,0,0,,,,,0,,,,,
1180 — Uccle,Apartment,,639000,167,1,1,0,38,,,,2,1,Good,20154889,No,
1410 — Waterloo,Apartment,,685000,168,1,1,0,16,,,,3,1,As new,20067543,"('Under option', 'No')",
8301 — Heist-aan-Zee,Apartment,,685000,112,1,1,0,6,,,,2,0,Just renovated,20243744,No,
1180 — Uccle,Apartment,,1250000,300,1,1,0,29,,,,,1,Good,20198126,No,
8430 — MIDDELKERKE,Apartment,,299000,60,1,1,0,0,,,,,0,Good,20269510,No,
3000 — LEUVEN,Apartment,,415000,101,0,1,0,7,,,,2,0,Good,20269011,No,
3020 — Herent,,Penthouse,975000,173,0,1,0,220,,,,,0,As new,20267583,No,
4460 — GRÂCE-HOLLOGNE,Apartment,,219000,75,1,0,0,30,,,,3,0,Good,20284400,No,
1000 — BRUSSEL,Apartment,,225000,61,1,1,0,2,,,,2,0,Good,20283652,"('Under option', 'No')",
9300 — Aalst (9300),Apartment,,249000,82,0,1,0,0,,,,2,0,Just renovated,20282670,No,
6700 — Arlon,,Duplex,250000,100,1,0,0,0,,,,,0,Good,20283733,No,
9300 — AALST,Apartment,,289000,111,0,0,0,0,,,,,0,Good,20284641,"('Under option', 'No')",
1500 — HALLE,Apartment,,299000,99,1,0,0,0,,,,2,0,Good,20284458,No,
4031 — Liège,Apartment,,259000,99,1,0,0,0,,,,1,1,As new,20312956,No,
1731 — Asse,Apartment,,199000,76,1,0,0,0,100,100,,2,1,To renovate,20293957,No,
1370 — Jodoigne,Apartment,,200000,80,1,0,0,0,,,,3,0,,20295849,No,
1180 — Uccle,Apartment,,245000,70,1,1,0,5,,,,2,1,Good,20294830,No,
1050 — Ixelles,Apartment,,249000,97,1,1,0,0,,,,2,1,Good,20295061,No,
8400 — Oostende,Apartment,,169000,77,1,1,0,4,,,,2,1,Good,20310036,No,
9200 — OUDEGEM,Apartment,,199000,85,1,0,0,7,,,,,0,Good,20264359,No,
9000 — Gent,Apartment,,360000,80,0,0,0,0,,,,,0,To be done up,20278927,No,
3210 — Linden,,Penthouse,748000,116,1,1,0,98,,,,,0,Good,20279357,"('Under option', 'No')",
8780 — Oostrozebeke,Apartment,,159000,110,1,0,0,0,,,,,0,Good,20286808,No,
2861 — Onze-Lieve-Vrouw-Waver,Apartment,,189000,65,1,0,0,0,,,,,0,,20302804,No,
9120 — Beveren,Apartment,,210000,93,1,1,0,6,,,,2,0,To be done up,20305017,No,
8500 — Kortrijk,Apartment,,565000,140,0,1,0,0,,,,,0,,20302554,"('Under option', 'No')",
,,,,0,0,0,0,,,,,0,,,,,
,,,,0,0,0,0,,,,,0,,,,,
2018 — Antwerpen (2018),Apartment,,195000,70,0,0,0,0,,,,,0,To renovate,20275300,No,
2100 — DEURNE,Apartment,,199000,84,1,0,0,0,,,,2,0,Just renovated,20277728,"('Under option', 'No')",
9190 — Stekene,Apartment,,249000,121,0,0,0,0,,,,,0,As new,20319004,No,
8793 — Sint-Eloois-Vijve,Apartment,,259000,100,0,1,0,0,,,,,0,Good,20275310,No,
9060 — Zelzate,Apartment,,275000,178,1,0,1,0,,,,2,1,To be done up,20316017,No,
8730 — Beernem,,Duplex,295000,125,0,0,0,0,,,,,0,As new,20275479,No,
9700 — OUDENAARDE,Apartment,,295000,107,1,0,0,0,,,,,0,Good,20275860,No,
1200 — Woluwe-Saint-Lambert,Apartment,,450000,120,1,1,0,15,,,,2,1,Good,20231390,"('Under option', 'No')",
1200 — Woluwe-Saint-Lambert,Apartment,,490000,110,0,1,0,0,,,,2,1,,20317527,No,
8620 — Nieuwpoort,Apartment,,549000,100,1,1,0,0,,,,,0,Just renovated,20275451,No,
2000 — ANTWERPEN,,Ground,649000,160,1,0,0,18,93,93,,2,0,As new,20277730,No,
2000 — ANTWERPEN,,Loft,649000,160,1,0,0,18,93,93,,2,0,As new,20277729,No,
2000 — ANTWERPEN,Apartment,,649000,160,1,0,0,18,93,93,,2,0,As new,20272142,No,
8670 — Oostduinkerke,Apartment,,690000,110,1,1,0,0,,,,,0,As new,20316619,No,
8300 — Knokke-Heist,Apartment,,845000,82,1,1,0,0,,,,2,0,Just renovated,20275238,No,
1070 — Anderlecht,Apartment,,300000,70,1,1,0,6,,,,2,1,As new,20219569,No,
3001 — LEUVEN,Apartment,,315000,84,1,0,0,6,,,,,0,Good,20159565,No,
1040 — Etterbeek,Apartment,,750000,155,1,0,0,6,,,,2,1,As new,20317222,No,
1040 — Etterbeek,,Penthouse,800000,137,1,0,0,42,,,,2,1,As new,20317221,No,
1050 — Ixelles,Apartment,,269000,57,1,1,0,0,,,,2,1,Good,20309423,No,
2000 — Antwerpen,Apartment,,475000,146,1,0,0,0,,,,3,1,Good,20139105,No,
,,,,0,0,0,0,,,,,0,,,,,
3550 — Zolder,Apartment,,265000,104,0,1,0,0,,,,,0,Good,20269817,No,
2020 — ANTWERPEN,Apartment,,325000,130,1,0,0,4,,,,,0,Good,20272044,No,
8300 — Knokke-Zoute,Apartment,,1190000,105,1,1,0,0,,,,3,0,Just renovated,20270054,No,
1080 — Molenbeek-Saint-Jean,Apartment,,165000,60,1,1,0,0,,,,2,1,As new,20212415,No,
1070 — Anderlecht,Apartment,,189000,58,1,1,0,0,,,,2,0,Good,20267054,No,
6800 — Libramont-Chevigny,Apartment,,189500,59,1,1,0,6,,,,,1,As new,20280282,"('Under option', 'No')",
1180 — Uccle,,Flat,205000,36,1,1,0,18,,,,4,0,Good,20259746,No,
4000 — Liège,Apartment,,215000,130,1,0,0,10,,,,2,1,To be done up,20234942,No,
6800 — Libramont-Chevigny,Apartment,,269000,121,1,1,0,40,,,,,0,Just renovated,20231384,No,
6800 — Libramont-Chevigny,Apartment,,269000,120,1,1,0,20,,,,,1,Just renovated,20228655,No,
1150 — Woluwe-Saint-Pierre,Apartment,,355000,85,1,1,0,7,,,,3,1,As new,20231179,No,
1000 — Brussel,Apartment,,375000,110,1,1,0,13,,,,2,1,Good,20231790,No,
1000 — Bruxelles,Apartment,,385000,88,1,1,0,7,,,,2,1,As new,20222725,"('Under option', 'No')",
1070 — Anderlecht,,Duplex,385000,93,1,1,0,27,,,,2,0,As new,20282829,No,
8000 — Brugge,Apartment,,385000,93,1,1,0,3,,,,2,1,As new,20283592,No,
,,,,0,0,0,0,,,,,0,,,,,
1200 — Woluwe-Saint-Lambert,Apartment,,445000,92,1,1,0,22,,,,2,0,Good,20177575,No,
1050 — Ixelles,Apartment,,460000,87,1,1,0,0,,,,2,0,As new,20186309,No,
8420 — De Haan,Apartment,,529000,171,1,1,0,0,,,,,0,Good,20285498,No,
9820 — Merelbeke,,Service,539000,108,0,1,0,25,,,,,0,As new,20285243,No,
1040 — Etterbeek,Apartment,,560000,108,1,1,0,8,,,,2,1,As new,20186328,No,
1000 — Bruxelles,,Penthouse,599000,228,1,1,0,16,,,,3,1,Good,20257089,No,
,,,,0,0,0,0,,,,,0,,,,,
2110 — Wijnegem,,Duplex,1195000,220,0,0,0,0,125,125,,,1,As new,20240731,No,
1180 — Uccle,Apartment,,1250000,300,1,1,0,30,,,,3,1,As new,20198932,No,
2930 — Brasschaat,Apartment,,285000,77,1,1,0,8,,,,2,0,As new,20301880,"('Under option', 'No')",
1180 — UCCLE,Apartment,,370000,125,1,0,0,15,,,,3,0,Good,20302584,No,
1050 — Ixelles,Apartment,,425000,93,1,0,0,25,,,,2,1,Just renovated,20301998,No,
2812 — MUIZEN,Apartment,,272000,211,1,0,0,0,,,,2,0,Good,20265428,No,
1910 — Kampenhout,,Duplex,420000,168,1,1,0,25,,,,2,1,Good,20313333,No,
2000 — Antwerpen,Apartment,,769000,130,1,0,0,22,,,,2,0,Just renovated,20266820,No,
1200 — Woluwe-Saint-Lambert,,Penthouse,790000,180,1,0,0,40,,,,2,1,As new,20312897,No,
2000 — Antwerpen,Apartment,,824000,148,1,0,0,30,,,,2,0,As new,20314973,No,
2610 — WILRIJK,Apartment,,395000,119,1,0,0,5,,,,2,0,Just renovated,20281780,No,
2610 — WILRIJK,Apartment,,425000,128,1,0,0,5,,,,2,0,Just renovated,20281782,"('Under option', 'No')",
9000 — Gent,Apartment,,227500,89,0,0,0,0,,,,,0,,20308694,No,
9030 — Mariakerke,Apartment,,227500,89,0,0,0,0,,,,,0,,20308614,No,
8400 — Oostende,Apartment,,339000,100,1,0,0,0,,,,2,1,Good,20308148,No,
1000 — Bruxelles,,Ground,495000,170,1,0,0,10,,,,,0,Good,20308598,No,
8780 — Oostrozebeke,Apartment,,169900,83,1,0,0,0,,,,,0,Good,20278587,No,
8380 — Zeebrugge,Apartment,,249000,75,1,0,0,0,,,,2,0,Good,20278349,No,
8300 — Knokke,Apartment,,1250000,75,0,0,0,0,,,,,0,Good,20278563,No,
8300 — Knokke,Apartment,,1370000,110,0,0,0,0,,,,,0,As new,20276769,No,
8300 — Knokke,Apartment,,2595000,115,0,1,0,0,,,,,0,Just renovated,20278566,No,
8300 — Knokke,Apartment,,2990000,181,0,0,0,0,,,,,0,As new,20276778,No,
8300 — Knokke,Apartment,,3950000,100,0,0,0,0,,,,,0,Just renovated,20276759,No,
5170 — LUSTIN,Apartment,,220000,78,1,0,0,6,,,,4,0,Just renovated,20236386,No,
8300 — Knokke-Heist,Apartment,,895000,85,1,1,0,11,,,,2,1,As new,11435800,No,
1000 — Bruxelles,,Penthouse,1199000,200,1,0,0,12,,,,3,1,As new,20260249,No,
6747 — Saint-Léger (Saint-Léger),Apartment,,248000,89,0,1,0,0,,,,3,1,,20297594,No,
