Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,
2100 — Antwerpen Deurne,,Ground,234900,85,1,1,0,0,26,26,,2,1,As new,20307858,No,
9000 — Gent,Apartment,,435000,68,1,0,0,0,,,,,0,Good,20319016,No,
9000 — Gent,Apartment,,435000,66,1,0,0,0,,,,,0,Good,20319009,No,
9000 — Gent,Apartment,,525000,84,1,1,0,11,,,,,0,Just renovated,20319054,No,
8400 — Oostende,Apartment,,595000,104,0,1,0,0,,,,,0,Just renovated,20317050,No,
9100 — SINT-NIKLAAS,Apartment,,125000,68,1,0,0,10,,,,,0,To renovate,20315651,No,
8400 — Oostende,Apartment,,269000,132,1,1,0,0,,,,,0,Good,20312801,No,
3530 — Houthalen,Apartment,,295000,140,1,0,0,0,,,,,0,Good,20314612,No,
8430 — Middelkerke,Apartment,,320000,74,0,1,0,0,,,,,0,Good,20313532,No,
9050 — Ledeberg,Apartment,,399000,142,0,1,0,60,,,,,0,Good,20312839,No,
1040 — Bruxelles,Apartment,,175000,40,1,1,0,0,,,,2,1,To be done up,20308983,No,
2800 — MECHELEN,,Ground,375000,94,1,0,0,7,,,,2,0,Good,20309622,No,
1030 — Schaerbeek,Apartment,,399000,100,1,1,0,8,,,,2,1,As new,20308527,No,
2600 — BERCHEM,Apartment,,235000,85,1,0,0,5,,,,3,0,As new,20305843,No,
9620 — Zottegem,Apartment,,269500,82,1,1,0,9,,,,,0,Good,20310099,No,
9620 — Zottegem,Apartment,,319500,90,1,1,0,13,,,,,0,Good,20310100,No,
8400 — Oostende,,Penthouse,595000,104,1,0,0,0,,,,,0,As new,20318950,No,
1000 — Bruxelles,,Duplex,670000,152,1,1,0,30,70,70,,2,1,Good,20316635,No,
8300 — Knokke,Apartment,,765000,99,1,1,0,10,,,,2,0,To renovate,20309681,No,
4000 — Liège,Apartment,,169000,94,1,0,0,8,,,,4,0,,20316893,No,
8420 — De Haan,Apartment,,185000,57,1,1,0,0,,,,,1,Good,20311480,No,
8434 — Westende,Apartment,,219000,63,0,0,0,4,,,,,0,Good,20314996,No,
9300 — Aalst (9300),Apartment,,240000,104,0,1,0,0,,,,,0,Good,20312205,No,
8800 — Roeselare,Apartment,,325000,94,0,0,0,5,29,29,,,0,Good,20314962,No,
8434 — Westende,Apartment,,199500,61,0,1,0,0,,,,,0,Good,20311522,No,
2550 — KONTICH,Apartment,,695000,240,1,0,0,27,,,,,0,Good,20306709,No,
1083 — Ganshoren,Apartment,,230000,95,1,1,0,6,,,,2,1,To be done up,20301066,"('Under option', 'No')",
9500 — GERAARDSBERGEN,Apartment,,199000,75,1,0,0,0,,,,2,0,Good,20318232,No,
1140 — Evere,Apartment,,285000,87,1,0,0,3,,,,,0,Good,20317294,No,
1160 — AUDERGHEM,Apartment,,300000,107,1,0,0,11,,,,,0,Good,20318694,No,
1050 — Ixelles,Apartment,,329000,80,1,1,0,2,,,,2,1,As new,20316855,No,
3000 — Leuven,,Penthouse,425000,125,1,0,0,13,,,,,0,Good,20318949,No,
1180 — Uccle,Apartment,,475000,139,1,1,0,8,,,,3,1,To be done up,20318382,No,
9000 — Gent,,Loft,745000,152,0,1,0,30,,,,,0,As new,20316654,No,
2600 — BERCHEM,Apartment,,249000,100,1,0,0,10,,,,,0,To renovate,20309857,No,
8400 — Oostende,Apartment,,419000,105,0,0,0,14,,,,,0,Good,20309137,No,
2940 — Hoevenen,Apartment,,257000,80,1,1,0,50,,,,,0,Good,20307431,No,
2060 — ANTWERPEN,Apartment,,279500,92,1,0,0,30,,,,2,0,Good,20309142,No,
2140 — BORGERHOUT,Apartment,,214000,70,1,0,0,0,,,,,0,Good,20314465,No,
1180 — Uccle,Apartment,,310000,98,1,1,0,12,,,,3,1,To renovate,20312280,No,
8370 — Blankenberge,,Duplex,449000,141,1,0,0,0,,,,,0,Good,20313512,No,
8400 — Oostende,Apartment,,320000,88,0,1,0,4,,,,,0,To be done up,20303165,No,
2000 — ANTWERPEN,Apartment,,449000,166,1,0,0,0,,,,2,0,Good,20305142,No,
3000 — LEUVEN,Apartment,,265000,60,1,0,0,7,,,,2,0,To be done up,20295946,No,
3000 — LEUVEN,Apartment,,295000,60,1,0,0,7,,,,2,0,Good,20295916,No,
3000 — LEUVEN,Apartment,,299500,60,1,0,0,0,100,100,,2,0,To be done up,20295908,No,
1160 — Auderghem,Apartment,,510000,115,1,1,0,10,,,,2,1,As new,20305153,No,
2140 — BORGERHOUT,Apartment,,145000,59,1,0,0,0,,,,2,0,Good,20318826,No,
1050 — Ixelles,Apartment,,445000,65,1,1,0,18,,,,2,1,As new,20317786,No,
2170 — MERKSEM,Apartment,,185000,70,1,0,0,3,,,,2,0,Good,20301576,"('Under option', 'No')",
,,,,0,0,0,0,,,,,0,,,,,
8580 — AVELGEM,Apartment,,359000,181,0,0,0,0,,,,2,0,Good,20315316,No,
1000 — Bruxelles,Apartment,,395000,95,1,1,0,8,,,,2,0,Good,20313864,No,
8530 — HARELBEKE,Apartment,,685000,147,1,0,0,0,,,,2,0,Good,20309437,No,
3300 — TIENEN,Apartment,,189000,81,0,0,0,22,,,,4,0,To renovate,20298238,No,
2018 — ANTWERPEN 2018,Apartment,,495000,177,1,0,0,18,,,,,0,To be done up,20299083,No,
2000 — ANTWERPEN 2000,Apartment,,695000,180,1,0,0,35,,,,,0,Good,20299084,No,
,,,,0,0,0,0,,,,,0,,,,,
8670 — Oostduinkerke,Apartment,,215000,61,0,0,0,0,,,,,0,To renovate,20310046,No,
2640 — MORTSEL,Apartment,,285000,120,1,0,0,19,,,,,0,,20310942,No,
2100 — DEURNE,Apartment,,209999,75,1,0,0,0,,,,2,0,As new,20304366,No,
2600 — BERCHEM,Apartment,,245000,110,1,0,0,0,,,,3,0,Good,20305050,No,
2140 — Borgerhout,Apartment,,259000,85,1,0,0,3,,,,,0,Just renovated,20302574,No,
3830 — Wellen,,Penthouse,380000,159,1,0,0,16,,,,,0,As new,20302596,No,
1470 — GENAPPE,Apartment,,195000,80,1,0,0,0,,,,3,0,Good,20319509,No,
8370 — Blankenberge,Apartment,,197000,98,1,1,0,0,,,,2,0,Good,20317961,No,
9660 — BRAKEL,Apartment,,254000,135,1,0,0,0,,,,2,0,Just renovated,20318198,No,
8600 — Diksmuide,,Loft,299000,115,1,1,0,0,,,,,0,Good,20316620,No,
9000 — Gent,Apartment,,365000,124,0,1,0,7,,,,,0,,20316713,No,
3000 — LEUVEN,,Penthouse,625000,136,1,0,0,0,,,,3,0,,20317397,No,
1000 — Brussels,,Penthouse,675000,140,1,1,0,77,,,,2,1,As new,20318932,No,
8380 — Zeebrugge,Apartment,,294000,58,1,0,0,0,,,,2,0,Good,20309178,No,
8300 — Knokke,Apartment,,525000,80,1,1,0,0,,,,2,0,Good,20309675,No,
9320 — EREMBODEGEM,Apartment,,199000,91,0,0,0,0,,,,2,0,Good,20316951,"('Under option', 'No')",
8800 — Roeselare,Apartment,,265000,94,0,0,0,11,,,,,0,Good,20314958,No,
9000 — Gent,Apartment,,325000,106,1,1,0,8,,,,2,1,Good,20317181,No,
1180 — Uccle,Apartment,,799000,180,1,1,0,28,90,90,,2,1,As new,20313017,No,
8300 — Knokke-Heist,Apartment,,2975000,125,1,1,0,37,,,,2,1,Just renovated,20314259,No,
2020 — ANTWERPEN,Apartment,,319000,,1,0,0,3,,,,2,0,Good,20313035,No,
8400 — Oostende,Apartment,,219000,62,0,1,0,4,,,,,0,Good,20305572,No,
1070 — Anderlecht,Apartment,,285000,74,1,1,0,0,100,100,,,0,Good,20304291,No,
3500 — Hasselt,Apartment,,295000,100,1,1,0,3,,,,,0,Just renovated,20305476,No,
,,,,0,0,0,0,,,,,0,,,,,
3500 — Hasselt,Apartment,,249000,65,0,0,0,15,,,,,0,Good,20302613,No,
