,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,Tenement building
184,9900 — Eeklo,Apartment,None,185000.0,97.0,1,0,0,0.0,None,None,None,None,0.0,3,20304708,no,0
185,2100 — DEURNE,Apartment,None,325000.0,93.0,1,0,0,17.0,None,None,None,2.0,0.0,4,20300739,no,0
186,1050 — Ixelles,Apartment,None,645000.0,165.0,1,1,0,6.0,None,None,None,2.0,1.0,5,20304789,no,0
187,2018 — Antwerpen,Apartment,None,379000.0,84.0,1,0,0,20.0,None,None,None,None,1.0,5,20313932,no,0
188,8570 — ANZEGEM,Apartment,None,165000.0,92.0,1,0,0,0.0,None,None,None,4.0,0.0,3,20305152,no,0
189,1060 — Saint-Gilles,Apartment,None,275000.0,135.0,1,1,0,0.0,None,None,None,2.0,0.0,2,20316112,no,0
190,9820 — Merelbeke,Apartment,None,619000.0,130.0,1,1,0,0.0,None,None,None,None,0.0,5,20309482,no,0
191,1040 — Etterbeek,Apartment,None,345000.0,87.0,1,1,0,3.0,None,None,None,2.0,1.0,3,20302440,no,0
192,1050 — Ixelles,Apartment,None,380000.0,85.0,1,1,0,3.0,None,None,None,2.0,1.0,1,20298879,no,0
193,1000 — BRUSSEL,Apartment,None,645000.0,100.0,1,0,0,60.0,None,None,None,None,0.0,4,20302021,no,0
194,1020 — Laeken,Apartment,None,225000.0,82.0,1,1,0,3.0,None,None,None,2.0,1.0,2,20316057,no,0
195,9550 — Herzele,Apartment,None,259000.0,110.0,1,1,0,20.0,None,None,None,2.0,1.0,3,20315877,no,0
196,2870 — Ruisbroek (2870),Apartment,None,189000.0,57.0,0,0,0,0.0,None,None,None,None,0.0,3,20308012,no,0
197,2820 — Bonheiden,Apartment,None,325000.0,79.0,0,0,0,0.0,None,None,None,None,0.0,3,20308998,no,0
198,2800 — Mechelen,Apartment,None,287000.0,116.0,1,0,0,6.0,None,None,None,3.0,1.0,5,20310753,no,0
199,2160 — Wommelgem,Apartment,None,209000.0,99.0,1,0,0,1.0,None,None,None,None,0.0,3,20296903,no,0
200,9230 — WETTEREN,Apartment,None,249000.0,88.0,1,0,0,9.0,None,None,None,2.0,0.0,3,20297492,no,0
201,1000 — Bruxelles,Apartment,None,285000.0,79.0,1,1,0,0.0,None,None,None,2.0,1.0,3,20295046,no,0
202,1000 — Bruxelles,Apartment,None,285000.0,79.0,1,1,0,0.0,None,None,None,2.0,1.0,5,20295044,no,0
203,2640 — Mortsel,Apartment,None,369000.0,130.0,0,1,0,9.0,None,None,None,None,0.0,3,20297124,no,0
204,2000 — ANTWERPEN 2000,Apartment,None,549500.0,142.0,1,0,0,15.0,None,None,None,None,0.0,4,20298089,no,0
205,6700 — ARLON,Apartment,None,200000.0,47.0,1,0,0,8.0,None,None,None,None,0.0,3,20313041,no,0
206,2270 — HERENTHOUT,Apartment,None,299000.0,93.0,1,0,0,13.0,None,None,None,3.0,0.0,none,20314504,no,0
207,9000 — Gent,Apartment,None,398000.0,74.0,0,0,0,0.0,None,None,None,None,0.0,5,20311117,no,0
208,8620 — NIEUWPOORT,Apartment,None,430000.0,60.0,1,1,0,0.0,None,None,None,4.0,0.0,none,20313003,no,0
209,1070 — Anderlecht,Apartment,None,265000.0,100.0,1,1,0,20.0,None,None,None,4.0,1.0,3,20308055,no,0
210,9300 — AALST,Apartment,None,179000.0,69.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20294422,no,0
211,1020 — Laeken,Apartment,None,319000.0,106.0,1,1,0,12.0,None,None,None,2.0,1.0,5,20310043,no,0
212,8200 — Sint-Michiels,Apartment,None,135000.0,37.0,1,0,0,0.0,None,None,None,None,0.0,1,20302599,no,0
213,9620 — Zottegem,Apartment,None,169000.0,111.0,0,1,0,0.0,None,None,None,None,0.0,3,20302664,no,0
214,1000 — BRUSSEL,Apartment,None,239000.0,47.0,1,1,0,2.0,None,None,None,3.0,0.0,3,20305154,no,0
215,2660 — HOBOKEN,Apartment,None,339000.0,136.0,1,0,0,16.0,None,None,None,2.0,0.0,5,20305666,no,0
216,9620 — Zottegem,Apartment,None,339000.0,121.0,0,1,0,7.0,None,None,None,None,0.0,3,20301029,no,0
